City,Lat,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed
Kodiak,39.95,45.0,78,90,6.93
Biak,-0.91,83.73,84,76,2.37
Bathsheba,13.22,77.0,78,40,18.34
Narsaq,60.91,19.4,73,68,3.36
Hadsund,56.72,41.0,86,0,16.11
Puerto Ayora,-0.74,78.01,91,0,1.99
Barrow,-38.31,53.58,75,92,4.27
Mataura,-46.19,63.0,86,88,1.01
Yacuiba,-22.01,68.16,98,92,3.71
Ende,-8.84,82.74,100,0,2.15
Avarua,-21.21,82.4,83,76,5.82
Sao Joao da Barra,-21.64,80.58,100,76,11.77
Ahuimanu,21.44,80.6,78,75,9.17
Cholet,47.06,39.99,86,0,5.82
Carnarvon,-30.97,50.25,89,0,12.33
Saint-Philippe,45.36,28.4,45,1,8.97
Marsh Harbour,26.54,73.83,100,64,6.96
Lebu,8.96,57.2,54,0,1.12
Sao Filipe,14.9,68.61,100,0,8.41
Albany,42.65,32.0,34,20,10.29
Athabasca,54.72,28.65,87,0,5.28
Busselton,-33.64,82.0,22,44,14.23
Mar del Plata,-46.43,47.55,100,68,6.06
Taltal,-25.41,55.74,96,0,0.92
Qaanaaq,77.48,-11.23,70,0,8.52
Poum,41.28,29.82,81,24,1.7
Aklavik,68.22,32.0,88,40,5.82
Geraldton,49.72,19.4,34,5,2.24
Atuona,-9.8,82.65,100,8,14.45
Faya,18.39,60.8,82,20,11.41
Moyale,3.52,66.81,79,12,3.71
Uyuni,-20.46,38.91,76,0,2.82
Hilo,19.71,73.99,60,75,10.29
Beringovskiy,63.05,33.33,95,92,36.6
Ushuaia,-54.81,44.6,70,75,12.75
Dukat,42.44,43.0,67,48,4.0
Yellowknife,62.45,30.2,92,90,6.93
Saskylakh,71.97,5.52,74,48,4.94
New Norfolk,-42.78,60.8,38,75,20.8
Bethel,60.79,41.0,86,90,21.92
Paita,-5.09,72.93,75,8,5.73
Tuktoyaktuk,69.44,12.2,85,20,6.93
Media Luna,-21.67,53.04,98,92,2.82
Caravelas,-17.73,82.65,100,20,9.64
Punta Arenas,-53.16,46.4,65,40,12.75
Bluff,-23.58,87.15,50,68,4.61
Vaini,15.34,78.8,65,8,3.49
Cayenne,4.94,77.0,78,0,7.74
East London,-33.02,62.6,88,75,8.05
Berlevag,70.86,26.04,100,20,11.88
Chumphon,10.5,89.6,70,40,9.17
Rikitea,-23.12,75.99,100,64,9.53
Zhaozhou,45.71,36.75,50,0,8.63
Belaya Gora,68.54,0.21,95,8,6.62
La Ronge,55.1,33.8,43,20,10.29
Wum,6.39,65.82,93,92,3.04
Cabo San Lucas,22.89,71.6,56,5,11.41
Nara,34.68,64.99,54,20,13.87
Chokurdakh,70.62,0.03,97,0,6.85
Kapaa,22.08,75.2,73,90,12.75
Caconda,-13.73,72.21,39,68,5.17
Chuy,-33.69,65.28,84,100,10.2
Bredasdorp,-34.53,60.8,87,32,4.7
Milkovo,41.53,48.99,78,0,3.36
Severo-Kurilsk,50.68,28.83,100,56,20.04
Upernavik,72.79,2.73,100,88,12.44
Nova Olimpia,-14.8,76.98,86,24,2.59
Jamestown,-33.21,66.18,63,0,7.96
Port-Cartier,50.03,-13.01,57,5,20.83
Ocampo,13.56,83.1,77,24,13.22
Mecca,21.43,65.46,34,64,4.94
San Patricio,-26.98,66.63,56,32,5.95
Abalak,15.46,71.85,35,36,9.53
Kahului,20.89,80.6,47,40,21.92
Tamandare,-8.28,75.9,96,24,1.81
Lorengau,-2.02,82.56,100,48,7.07
Ilulissat,69.22,21.2,92,88,12.75
Dikson,73.51,29.73,98,88,14.12
Vardo,39.62,41.0,86,90,5.82
Sinnamary,5.38,80.49,92,100,10.76
Jieshi,22.82,72.93,87,20,13.11
Tweed,44.48,28.4,42,5,11.41
Nemuro,43.32,39.2,89,75,6.93
Victoria,5.28,87.8,66,75,4.7
Khatanga,71.98,23.61,90,80,14.79
Flinders,-34.58,77.0,25,0,6.93
Kodinsk,58.6,24.33,50,8,3.38
Port Alfred,-33.59,65.46,95,8,10.2
Vila Franca do Campo,37.72,55.4,82,20,11.41
Andria,41.23,55.0,70,8,5.82
Elizabeth City,36.3,55.0,93,90,8.05
Zhigansk,66.77,4.98,59,0,4.38
Nikolskoye,59.7,30.2,86,75,8.95
Batagay-Alyta,67.8,5.61,75,0,4.27
Beira,43.2,53.01,61,0,8.05
Ramygala,55.51,28.4,92,0,6.93
Arraial do Cabo,-22.97,76.26,99,0,4.16
Del Rio,29.36,71.6,83,1,10.76
Ambon,47.55,43.0,77,0,6.93
Udachnyy,66.42,12.72,57,0,3.38
Tasiilaq,65.61,26.6,86,88,27.51
Faanui,-16.48,83.01,100,12,12.1
Yumen,40.29,48.81,43,48,18.7
Saint-Georges,46.12,19.0,61,44,3.0
Saint George,39.45,52.0,87,0,4.7
Cape Town,-33.93,62.6,72,0,23.04
Los Llanos de Aridane,28.66,60.8,67,0,4.7
Vredendal,-31.68,52.05,86,0,2.93
Isangel,-19.55,87.8,55,40,13.87
Mitsamiouli,-11.38,77.0,88,20,5.82
Mount Gambier,-37.83,64.4,52,75,16.11
Ancud,-41.87,50.0,76,0,9.17
Williams Lake,52.13,42.8,70,90,5.82
Leningradskiy,69.38,20.01,99,92,8.3
Esperance,10.24,77.0,88,40,3.36
Pangnirtung,66.15,4.89,83,76,9.08
Catalina,8.86,82.4,78,40,9.17
